name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
11355,2022-01-01,13.3,10,11.4,13.3,10,11.4,9.9,90.9,18.666,100,66.67,rain,0,0,,16.5,149.8,1008.4,99.8,7,13.5,1.3,1,,2022-01-01T07:19:34,2022-01-01T16:38:30,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-02,15.1,4.1,10.2,15.1,-0.5,9.2,7.4,83.2,4.096,100,20.83,rain,0,0,49.6,29.6,316.2,1004.7,95.6,10.8,26.7,2.2,2,,2022-01-02T07:19:39,2022-01-02T16:39:22,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-03,4,-4.2,-0.6,0.5,-11.4,-6.4,-10,49.8,0,0,0,,0,0,47.3,32.9,358.6,1019.3,81.5,16,11,1,1,,2022-01-03T07:19:42,2022-01-03T16:40:15,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-04,1.3,-6.4,-2.3,-0.5,-13.8,-6.8,-11.7,49.1,0,0,0,,0,0,38.9,22.9,286.5,1028.2,33.2,16,109.4,9.4,5,,2022-01-04T07:19:43,2022-01-04T16:41:09,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-05,8.4,-0.1,4.4,6.8,-4.5,1.6,0.5,76.6,6.303,100,33.33,"rain,snow",0,0,31.7,20.9,215.2,1014.2,86.7,13.4,17.6,1.5,1,,2022-01-05T07:19:41,2022-01-05T16:42:05,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-06,5.4,1.9,3.6,2.5,-1.6,-0.1,-6.4,49.8,0,0,0,"rain,snow",4.7,1.6,50,28.2,285.4,1011.2,72.3,16,66.5,5.7,4,,2022-01-06T07:19:37,2022-01-06T16:43:02,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-07,1.9,-2.5,-0.4,-2.1,-9.6,-6.5,-6.8,63.9,8.383,100,33.33,"rain,snow",2.9,6.6,56.8,37.2,316.6,1012.2,78.1,10.9,69.5,6.1,4,,2022-01-07T07:19:31,2022-01-07T16:44:01,0.16,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,snow,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-08,-0.4,-5.5,-2.9,-0.4,-12.9,-7.9,-13.6,44.2,0,0,0,,0,5,53.5,34.2,297.5,1032.8,18.3,16,117.9,10.2,5,,2022-01-08T07:19:23,2022-01-08T16:45:01,0.19,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-09,5,-1.3,2.5,1.4,-6.7,-1.8,-3.4,66,2.924,100,29.17,rain,0,2.9,47.9,24.8,225.9,1023.1,82.3,15.7,25.4,2.2,1,,2022-01-09T07:19:12,2022-01-09T16:46:02,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-10,5.2,-3.1,-0.2,1.2,-9.4,-6.1,-10.5,46.6,0,0,0,,0,0.2,53.6,38.1,300.2,1019.3,60.8,16,114.2,9.9,5,10,2022-01-10T07:18:59,2022-01-10T16:47:04,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-11,-3.2,-8.2,-6.7,-7.2,-17.3,-13.6,-17.9,41.1,0,0,0,,0,0,53.2,36.4,313.2,1031,23.7,15.7,115.2,9.8,5,10,2022-01-11T07:18:44,2022-01-11T16:48:08,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-12,5.1,-7.2,0.1,1.8,-12.4,-4.4,-10.4,45.4,0,0,0,,0,0,43.8,25.9,219.7,1023,54.8,16,106.5,9.2,5,10,2022-01-12T07:18:27,2022-01-12T16:49:12,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-13,7.7,0.8,4.1,5.5,-0.9,2.5,-2.7,62.1,0,0,0,,0,0,18.7,13.1,52.5,1015.2,76.8,15.9,88.9,7.8,4,10,2022-01-13T07:18:07,2022-01-13T16:50:17,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-14,5.8,-4,3.3,2.2,-11.8,-1.5,-2.5,66.2,0,0,0,,0,0,60.5,41.4,356.3,1009.5,68,16,82.5,7.2,4,10,2022-01-14T07:17:46,2022-01-14T16:51:24,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-15,-5.3,-10.9,-8.4,-12.7,-19.6,-16,-18.1,46.6,0,0,0,,0,0,51.8,32.4,354.8,1024.2,43.6,16,104.4,9.1,5,10,2022-01-15T07:17:22,2022-01-15T16:52:31,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-16,2.6,-12.1,-5.9,-3.3,-19,-12.1,-11.8,63.9,6.081,100,16.67,"rain,snow",0,0,51.1,33.2,40.8,1024.8,60.5,14.1,68.6,5.9,4,10,2022-01-16T07:16:55,2022-01-16T16:53:39,0.46,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-17,7.1,1.9,4.1,3.2,-4.7,-1,-0.5,73,29.578,100,41.67,rain,0,0,70.3,50.8,222.1,990.1,97.7,13.1,25.9,2.3,2,10,2022-01-17T07:16:27,2022-01-17T16:54:48,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-18,3.2,-0.8,1,-0.8,-7.3,-4.8,-9.5,45.8,0,0,0,,0,0,62.7,43.5,300.4,1011,55.9,16,100.6,8.6,5,10,2022-01-18T07:15:57,2022-01-18T16:55:57,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-19,9.6,-1.8,4.6,6.8,-4.5,1.6,-5.3,49.4,0,0,0,,0,0,51.8,25.1,208.1,1017.9,64.1,16,70.2,6.1,4,10,2022-01-19T07:15:24,2022-01-19T16:57:07,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-20,7.9,-4.1,2.4,5.8,-11.4,-1.9,-4.9,60.6,6.186,100,37.5,"rain,snow",0,0,43.6,26.5,326.4,1020.4,86.5,13.3,29.3,2.5,1,10,2022-01-20T07:14:49,2022-01-20T16:58:18,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-21,-5.1,-9.6,-7.1,-11.4,-18.2,-14.4,-17.6,42.9,0,0,0,,0,0,50,31.6,5.3,1033.2,70.4,16,102.7,9,5,10,2022-01-21T07:14:13,2022-01-21T16:59:29,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-22,-1,-9.9,-5.2,-3.3,-17.2,-10.3,-14.7,47.5,0,0,0,,0,0,37.8,22.1,11.2,1027.2,50.7,16,131,11.3,5,10,2022-01-22T07:13:34,2022-01-22T17:00:41,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-23,3,-3.6,-0.5,-0.3,-9.2,-4.8,-11.8,43.9,0.268,100,8.33,"rain,snow",0,0,36.4,22.7,249.2,1012.8,81,14.8,100.1,8.5,5,10,2022-01-23T07:12:53,2022-01-23T17:01:54,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain or snow.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-24,2.2,-2.2,-0.1,0.2,-7.3,-3.5,-6.3,63.6,0,0,0,,0,0,34.6,20.7,312.5,1011.5,93,14.9,67.6,5.8,4,10,2022-01-24T07:12:10,2022-01-24T17:03:06,0.74,Overcast,Cloudy skies throughout the day.,cloudy,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-25,6,-0.4,3.3,2.5,-5.4,-0.3,-4.9,55.7,0,0,0,,0,0,39.3,26.7,285.1,1014.2,75.1,15.3,44.3,3.8,2,10,2022-01-25T07:11:26,2022-01-25T17:04:19,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-26,-1.3,-5.9,-3.7,-7.1,-11.6,-9.7,-16.3,37.9,0,0,0,,0,0,46.3,28.2,334.4,1027,18.4,16,135,11.6,5,10,2022-01-26T07:10:39,2022-01-26T17:05:33,0.81,Clear,Clear conditions throughout the day.,clear-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-27,-0.1,-7.6,-3.6,-4.7,-12.6,-8,-13.7,45.4,0,0,0,,0,0,33.5,20.8,162.5,1029.2,40.2,16,129.3,11.2,5,10,2022-01-27T07:09:51,2022-01-27T17:06:46,0.84,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-28,0.6,-1.3,-0.2,0.6,-6.7,-3.4,-6.1,66.2,1.896,100,33.33,"rain,snow",4.5,1.5,38.3,23.1,9.6,1019.6,99.8,8.6,24.5,2,1,10,2022-01-28T07:09:00,2022-01-28T17:08:00,0.88,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-01-29,-1.2,-9.4,-6.6,-6.9,-19.5,-15.6,-11.6,69.8,8.116,100,66.67,"rain,snow",4.1,6.7,64.4,41.1,331.3,1006.2,97.3,5.9,20.2,1.7,1,10,2022-01-29T07:08:08,2022-01-29T17:09:14,0.91,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-30,-3.3,-10,-6.7,-8.3,-20.2,-13.8,-16.6,45.3,0,0,0,snow,0.9,8.1,55.6,35.8,293.8,1015.7,36.1,16,138.6,12.1,5,10,2022-01-30T07:07:14,2022-01-30T17:10:28,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
11355,2022-01-31,-1.2,-6.5,-3.5,-4.3,-10.2,-7.2,-13.3,47,0,0,0,,0,6.7,16.6,13.2,41.1,1027.3,54.8,16,117.5,10.3,5,10,2022-01-31T07:06:18,2022-01-31T17:11:43,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-02-01,1.9,-4.6,-1,-0.8,-9.2,-4.7,-8.5,57,0,0,0,,0,5.4,33.5,20.8,42.8,1033.6,46.8,16,138.7,11.9,5,10,2022-02-01T07:05:21,2022-02-01T17:12:57,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-02-02,5.9,-0.3,3,4.7,-2.8,1.1,-0.1,80,0,0,0,,0,3.9,19.4,12.1,66.4,1030.2,94.8,13.8,83.6,7.4,4,10,2022-02-02T07:04:21,2022-02-02T17:14:12,0.05,Overcast,Cloudy skies throughout the day.,cloudy,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-02-03,8.7,4.8,6.8,6.8,3.5,5.4,5.3,90.2,9.881,100,70.83,rain,0,1.7,35.3,14.9,175.4,1023.1,99.9,5.3,19,1.6,1,10,2022-02-03T07:03:21,2022-02-03T17:15:26,0.08,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"D9152,72505394728,F7223,KJFK,KLGA,74486094789,KNYC,72503014732"
11355,2022-02-04,11.7,-2.3,3.8,11.7,-8,0.1,1.4,84.3,17.016,100,79.17,"rain,snow",0,0.2,50,25,333.5,1012.9,100,10.6,15.1,1.3,1,10,2022-02-04T07:02:18,2022-02-04T17:16:41,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"D9152,72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
